artist_name,monthly_listeners,total_streams_billions,daily_streams_millions,lead_streams_share,chart_longevity_weeks,primary_genre,country
The Weeknd,112450000,52.8,42.1,0.88,520,Pop / R&B,Canada
Taylor Swift,108300000,78.4,65.2,0.95,680,Pop / Country,USA
Drake,88200000,74.1,48.6,0.82,610,Hip-Hop,Canada
Bad Bunny,76400000,63.9,39.4,0.91,440,Reggaeton / Latin,Puerto Rico
Ed Sheeran,74200000,46.2,28.5,0.89,580,Pop,UK
Justin Bieber,72900000,41.5,24.1,0.78,510,Pop,Canada
Billie Eilish,71800000,36.8,31.2,0.96,360,Alt-Pop,USA
Dua Lipa,69500000,32.4,26.8,0.9,390,Dance-Pop,UK
Post Malone,68100000,38.6,27.4,0.85,430,Hip-Hop / Pop,USA
Eminem,67400000,39.1,29.8,0.92,590,Hip-Hop,USA
Ariana Grande,66200000,38.0,25.1,0.87,470,Pop,USA
Bruno Mars,65800000,33.2,28.6,0.84,490,R&B / Funk,USA
Coldplay,64500000,29.4,21.3,0.94,560,Pop-Rock,UK
Imagine Dragons,61200000,28.1,19.8,0.96,460,Alt-Rock,USA
Kendrick Lamar,59800000,24.5,28.4,0.86,380,Hip-Hop,USA
SZA,58400000,22.1,24.6,0.89,290,R&B,USA
Travis Scott,57900000,26.8,27.2,0.81,350,Hip-Hop,USA
Olivia Rodrigo,54300000,16.4,18.2,0.98,210,Pop-Rock,USA
Harry Styles,52100000,18.9,16.5,0.97,280,Pop-Rock,UK
Doja Cat,51800000,19.2,17.1,0.89,260,Dance-Pop,USA
