rank,artist,lead_streams,feats_streams,tracks_count,one_billion_plus_tracks,hundred_million_plus_tracks,all_time_peak_rank
1,Taylor Swift,74500000000,3900000000,248,14,162,1
2,Drake,60800000000,13300000000,312,16,189,1
3,Bad Bunny,58200000000,5700000000,184,13,142,1
4,The Weeknd,46500000000,6300000000,192,12,128,1
5,Ed Sheeran,41100000000,5100000000,210,11,114,1
6,Justin Bieber,32400000000,9100000000,224,10,105,1
7,Eminem,36000000000,3100000000,280,8,118,2
8,Post Malone,32800000000,5800000000,145,9,98,1
9,Ariana Grande,33100000000,4900000000,178,8,92,1
10,Billie Eilish,35300000000,1500000000,62,9,58,2
