track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
trk_1000,Ed Sheeran,Starboy Summer (Deluxe Edition),Starboy Summer,60,257714,0,0.824,0.853,9,-13.74,1,0.049,0.285,0.0,0.129,0.399,97.56,4,pop
trk_1001,Kendrick Lamar,Save Waves (Deluxe Edition),Save Waves,95,186393,0,0.781,0.667,2,-6.67,1,0.329,0.598,0.0,0.2,0.683,100.91,4,hip-hop
trk_1002,Coldplay,Levitating Chamber (Deluxe Edition),Levitating Chamber,100,215416,0,0.391,0.529,8,-3.9,1,0.322,0.455,0.0,0.301,0.349,111.4,4,rock
trk_1003,Drake,As It Was World (Deluxe Edition),As It Was World,88,169291,0,0.608,0.41,9,-6.22,0,0.349,0.742,0.0,0.253,0.506,154.56,4,hip-hop
trk_1004,Post Malone,Anti Chamber (Deluxe Edition),Anti Chamber,61,155409,0,0.411,0.911,0,-9.48,1,0.318,0.162,0.0,0.145,0.578,140.86,4,hip-hop
trk_1005,Taylor Swift,Sunflower Fantasy (Deluxe Edition),Sunflower Fantasy,63,239698,0,0.762,0.789,0,-6.43,1,0.292,0.023,0.0,0.159,0.732,85.31,4,pop
trk_1006,Drake,God's Tears (Deluxe Edition),God's Tears,73,153622,1,0.427,0.589,7,-4.34,1,0.175,0.456,0.2411,0.195,0.436,124.59,4,hip-hop
trk_1007,Eminem,Levitating Fantasy (Deluxe Edition),Levitating Fantasy,56,160339,0,0.76,0.482,1,-11.41,1,0.159,0.04,0.0,0.289,0.203,100.99,4,hip-hop
trk_1008,Billie Eilish,Save Symphony (Deluxe Edition),Save Symphony,39,140491,1,0.436,0.696,10,-5.67,0,0.199,0.776,0.0,0.083,0.18,147.69,4,alt-pop
trk_1009,Kendrick Lamar,Shape Dreams (Deluxe Edition),Shape Dreams,60,187672,1,0.486,0.634,2,-9.59,0,0.235,0.182,0.0,0.218,0.156,98.35,4,hip-hop
trk_1010,Dua Lipa,Die Heart (Deluxe Edition),Die Heart,51,223012,0,0.749,0.889,3,-5.65,0,0.235,0.064,0.0,0.168,0.453,146.42,4,dance-pop
trk_1011,Harry Styles,Humble Parade (Deluxe Edition),Humble Parade,84,234191,0,0.746,0.785,4,-10.04,0,0.222,0.317,0.0,0.188,0.544,156.7,4,pop-rock
trk_1012,Post Malone,Anti Waves (Deluxe Edition),Anti Waves,87,218032,0,0.36,0.894,5,-11.91,0,0.153,0.671,0.0,0.092,0.691,156.11,4,hip-hop
trk_1013,Ariana Grande,Flowers Nights (Deluxe Edition),Flowers Nights,91,160930,1,0.791,0.448,3,-6.6,1,0.141,0.704,0.0,0.122,0.869,126.66,4,pop
